label	ctx_size	batch_size	ubatch_size	status	avg_completion_tok_s	avg_total_tok_s	avg_wall_s	avg_rss_mb	peak_rss_mb	server_log	benchmark_log
f16	32768	512	128	ok	33.47	1704.42	11.872	47625.4	47625.8	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx32768-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx32768-b512-ub128.benchmark.log
f16	32768	512	256	ok	32.95	1677.67	12.057	47645.0	47645.3	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx32768-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx32768-b512-ub256.benchmark.log
f16	32768	1024	128	ok	33.70	1716.08	11.792	47629.1	47629.3	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx32768-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx32768-b1024-ub128.benchmark.log
f16	32768	1024	256	ok	32.85	1673.58	12.101	47647.1	47647.5	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx32768-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx32768-b1024-ub256.benchmark.log
f16	65536	512	128	ok	28.04	3193.90	12.641	48569.4	48569.8	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx65536-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx65536-b512-ub128.benchmark.log
f16	65536	512	256	ok	27.28	3105.54	12.985	48609.9	48610.4	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx65536-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx65536-b512-ub256.benchmark.log
f16	65536	1024	128	ok	28.07	3196.64	12.629	48578.1	48578.5	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx65536-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx65536-b1024-ub128.benchmark.log
f16	65536	1024	256	ok	27.29	3106.75	12.979	48613.0	48613.4	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx65536-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx65536-b1024-ub256.benchmark.log
f16	98304	512	128	ok	22.73	4822.36	12.281	49587.4	49588.1	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx98304-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx98304-b512-ub128.benchmark.log
f16	98304	512	256	ok	21.90	4653.21	12.716	49647.1	49647.7	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx98304-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx98304-b512-ub256.benchmark.log
f16	98304	1024	128	ok	22.74	4824.57	12.276	49587.8	49588.3	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx98304-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx98304-b1024-ub128.benchmark.log
f16	98304	1024	256	ok	20.65	4388.07	13.482	49440.6	49442.2	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx98304-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx98304-b1024-ub256.benchmark.log
f16	131072	512	128	ok	18.60	4434.15	18.553	50533.6	50534.9	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx131072-b512-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx131072-b512-ub128.benchmark.log
f16	131072	512	256	ok	18.00	4286.63	19.140	50625.8	50626.7	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx131072-b512-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx131072-b512-ub256.benchmark.log
f16	131072	1024	128	ok	18.60	4435.99	18.548	50533.4	50534.3	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx131072-b1024-ub128.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx131072-b1024-ub128.benchmark.log
f16	131072	1024	256	ok	18.04	4296.47	19.104	50622.3	50627.8	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx131072-b1024-ub256.server.log	/Users/yoda/code/projects/apple-silicon/tuning-results/f16-20260403-140703/f16-ctx131072-b1024-ub256.benchmark.log
