label	ctx_size	batch_size	ubatch_size	status	avg_completion_tok_s	avg_total_tok_s	avg_wall_s	avg_rss_mb	peak_rss_mb	server_log	benchmark_log
turbo	32768	512	128	ok	27.95	1175.42	17.074	47006.2	47006.4	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx32768-b512-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx32768-b512-ub128.benchmark.log
turbo	32768	512	256	ok	27.56	1158.69	17.318	47027.7	47028.2	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx32768-b512-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx32768-b512-ub256.benchmark.log
turbo	32768	1024	128	ok	28.09	1181.10	16.992	47007.1	47007.4	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx32768-b1024-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx32768-b1024-ub128.benchmark.log
turbo	32768	1024	256	ok	27.58	1159.67	17.302	47027.9	47028.1	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx32768-b1024-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx32768-b1024-ub256.benchmark.log
turbo	65536	512	128	ok	21.61	4356.56	13.872	47335.1	47335.5	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx65536-b512-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx65536-b512-ub128.benchmark.log
turbo	65536	512	256	ok	20.59	4028.23	14.365	47379.0	47380.7	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx65536-b512-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx65536-b512-ub256.benchmark.log
turbo	65536	1024	128	ok	21.61	4356.82	13.873	47343.5	47345.6	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx65536-b1024-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx65536-b1024-ub128.benchmark.log
turbo	65536	1024	256	ok	20.59	4028.29	14.364	47376.4	47378.1	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx65536-b1024-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx65536-b1024-ub256.benchmark.log
turbo	98304	512	128	ok	19.25	3588.14	17.166	47734.8	47735.3	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx98304-b512-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx98304-b512-ub128.benchmark.log
turbo	98304	512	256	ok	14.35	9495.23	6.176	47792.3	47792.7	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx98304-b512-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx98304-b512-ub256.benchmark.log
turbo	98304	1024	128	ok	19.12	3561.98	17.272	47734.9	47735.4	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx98304-b1024-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx98304-b1024-ub128.benchmark.log
turbo	98304	1024	256	ok	14.39	9517.82	6.161	47792.5	47794.3	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx98304-b1024-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx98304-b1024-ub256.benchmark.log
turbo	131072	512	128	ok	17.00	2985.84	26.308	48075.7	48076.7	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx131072-b512-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx131072-b512-ub128.benchmark.log
turbo	131072	512	256	ok	16.44	2887.14	27.205	48140.2	48140.4	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx131072-b512-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx131072-b512-ub256.benchmark.log
turbo	131072	1024	128	ok	17.00	2985.10	26.314	48062.6	48063.3	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx131072-b1024-ub128.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx131072-b1024-ub128.benchmark.log
turbo	131072	1024	256	ok	16.47	2892.25	27.156	48141.4	48142.2	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx131072-b1024-ub256.server.log	/Users/yoda/code/projects/Intellyvest/tuning-results/turbo-20260403-153548/turbo-ctx131072-b1024-ub256.benchmark.log
